;TYPE,X_POS,Y-POS,Z-POS,SHAPE,DIST FILE,QUANT,RADIUS,LENGTH,Y-ROT,Z-ROT,PROP,PARAM
Resources    Asteroid,-238417,211245,-137650,Cylinder,Tiny.dist,7,5000,91369,-17.72160317,56.39513535,?,?
Resources    Asteroid,-277643,132795,-160297,Cylinder,Tiny.dist,7,5000,91369,-11.03043729,70.26620472,?,?
Resources    Asteroid,-297947,45295,-172020,Cylinder,Tiny.dist,7,5000,91369,-3.740928974,83.49383021,?,?

;30-390,,,,,,,,,,,,
Resources    Asteroid,43709,383356,25235,Cylinder,Tiny.dist,7,5000,101812,-29.71741572,-8.6417699,     ?,     ?
Resources    Asteroid,128147,357231,73986,Cylinder,Tiny.dist,7,5000,101812,-27.51307188,-25.55980341,     ?,     ?
Resources    Asteroid,203853,306761,117695,Cylinder,Tiny.dist,7,5000,101812,-23.36841967,-41.54054935,     ?,     ?
Resources    Asteroid,265666,235385,153382,Cylinder,Tiny.dist,7,5000,101812,-17.72160317,-56.39513535,     ?,     ?
Resources    Asteroid,309375,147968,178618,Cylinder,Tiny.dist,7,5000,101812,-11.03043729,-70.26620472,     ?,     ?
Resources    Asteroid,332001,50467,191681,Cylinder,Tiny.dist,7,5000,101812,-3.740928974,-83.49383021,     ?,     ?
Resources    Asteroid,-43709,-383356,-25235,Cylinder,Tiny.dist,7,5000,101812,-29.71741572,-8.6417699,     ?,     ?
Resources    Asteroid,-128147,-357231,-73986,Cylinder,Tiny.dist,7,5000,101812,-27.51307188,-25.55980341,     ?,     ?
Resources    Asteroid,-203853,-306761,-117695,Cylinder,Tiny.dist,7,5000,101812,-23.36841967,-41.54054935,     ?,     ?
Resources    Asteroid,-265666,-235385,-153382,Cylinder,Tiny.dist,7,5000,101812,-17.72160317,-56.39513535,     ?,     ?
Resources    Asteroid,-309375,-147968,-178618,Cylinder,Tiny.dist,7,5000,101812,-11.03043729,-70.26620472,     ?,     ?
Resources    Asteroid,-332001,-50467,-191681,Cylinder,Tiny.dist,7,5000,101812,-3.740928974,-83.49383021,     ?,     ?
Resources    Asteroid,43709,-383356,25235,Cylinder,Tiny.dist,7,5000,101812,-29.71741572,8.6417699,     ?,     ?
Resources    Asteroid,128147,-357231,73986,Cylinder,Tiny.dist,7,5000,101812,-27.51307188,25.55980341,     ?,     ?
Resources    Asteroid,203853,-306761,117695,Cylinder,Tiny.dist,7,5000,101812,-23.36841967,41.54054935,     ?,     ?
Resources    Asteroid,265666,-235385,153382,Cylinder,Tiny.dist,7,5000,101812,-17.72160317,56.39513535,     ?,     ?
Resources    Asteroid,309375,-147968,178618,Cylinder,Tiny.dist,7,5000,101812,-11.03043729,70.26620472,     ?,     ?
Resources    Asteroid,332001,-50467,191681,Cylinder,Tiny.dist,7,5000,101812,-3.740928974,83.49383021,     ?,     ?
Resources    Asteroid,-43709,383356,-25235,Cylinder,Tiny.dist,7,5000,101812,-29.71741572,8.6417699,     ?,     ?
Resources    Asteroid,-128147,357231,-73986,Cylinder,Tiny.dist,7,5000,101812,-27.51307188,25.55980341,     ?,     ?
Resources    Asteroid,-203853,306761,-117695,Cylinder,Tiny.dist,7,5000,101812,-23.36841967,41.54054935,     ?,     ?
Resources    Asteroid,-265666,235385,-153382,Cylinder,Tiny.dist,7,5000,101812,-17.72160317,56.39513535,     ?,     ?
Resources    Asteroid,-309375,147968,-178618,Cylinder,Tiny.dist,7,5000,101812,-11.03043729,70.26620472,     ?,     ?
Resources    Asteroid,-332001,50467,-191681,Cylinder,Tiny.dist,7,5000,101812,-3.740928974,83.49383021,     ?,     ?

;30-400,,,,,,,,,,,,
Resources    Asteroid,44829,393186,25882,Cylinder,Tiny.dist,7,5000,104422,-29.71741572,-8.6417699,     ?,     ?
Resources    Asteroid,131432,366391,75882,Cylinder,Tiny.dist,7,5000,104422,-27.51307188,-25.55980341,     ?,     ?
Resources    Asteroid,209079,314627,120712,Cylinder,Tiny.dist,7,5000,104422,-23.36841967,-41.54054935,     ?,     ?
Resources    Asteroid,272477,241422,157315,Cylinder,Tiny.dist,7,5000,104422,-17.72160317,-56.39513535,     ?,     ?
Resources    Asteroid,317307,151764,183197,Cylinder,Tiny.dist,7,5000,104422,-11.03043729,-70.26620472,     ?,     ?
Resources    Asteroid,340512,51763,196595,Cylinder,Tiny.dist,7,5000,104422,-3.740928974,-83.49383021,     ?,     ?
Resources    Asteroid,-44829,-393186,-25882,Cylinder,Tiny.dist,7,5000,104422,-29.71741572,-8.6417699,     ?,     ?
Resources    Asteroid,-131432,-366391,-75882,Cylinder,Tiny.dist,7,5000,104422,-27.51307188,-25.55980341,     ?,     ?
Resources    Asteroid,-209079,-314627,-120712,Cylinder,Tiny.dist,7,5000,104422,-23.36841967,-41.54054935,     ?,     ?
Resources    Asteroid,-272477,-241422,-157315,Cylinder,Tiny.dist,7,5000,104422,-17.72160317,-56.39513535,     ?,     ?
Resources    Asteroid,-317307,-151764,-183197,Cylinder,Tiny.dist,7,5000,104422,-11.03043729,-70.26620472,     ?,     ?
Resources    Asteroid,-340512,-51763,-196595,Cylinder,Tiny.dist,7,5000,104422,-3.740928974,-83.49383021,     ?,     ?
Resources    Asteroid,44829,-393186,25882,Cylinder,Tiny.dist,7,5000,104422,-29.71741572,8.6417699,     ?,     ?
Resources    Asteroid,131432,-366391,75882,Cylinder,Tiny.dist,7,5000,104422,-27.51307188,25.55980341,     ?,     ?
Resources    Asteroid,209079,-314627,120712,Cylinder,Tiny.dist,7,5000,104422,-23.36841967,41.54054935,     ?,     ?
Resources    Asteroid,272477,-241422,157315,Cylinder,Tiny.dist,7,5000,104422,-17.72160317,56.39513535,     ?,     ?
Resources    Asteroid,317307,-151764,183197,Cylinder,Tiny.dist,7,5000,104422,-11.03043729,70.26620472,     ?,     ?
Resources    Asteroid,340512,-51763,196595,Cylinder,Tiny.dist,7,5000,104422,-3.740928974,83.49383021,     ?,     ?
Resources    Asteroid,-44829,393186,-25882,Cylinder,Tiny.dist,7,5000,104422,-29.71741572,8.6417699,     ?,     ?
Resources    Asteroid,-131432,366391,-75882,Cylinder,Tiny.dist,7,5000,104422,-27.51307188,25.55980341,     ?,     ?
Resources    Asteroid,-209079,314627,-120712,Cylinder,Tiny.dist,7,5000,104422,-23.36841967,41.54054935,     ?,     ?
Resources    Asteroid,-272477,241422,-157315,Cylinder,Tiny.dist,7,5000,104422,-17.72160317,56.39513535,     ?,     ?
Resources    Asteroid,-317307,151764,-183197,Cylinder,Tiny.dist,7,5000,104422,-11.03043729,70.26620472,     ?,     ?
Resources    Asteroid,-340512,51763,-196595,Cylinder,Tiny.dist,7,5000,104422,-3.740928974,83.49383021,     ?,     ?

;30-390 Cloud,,,,,,,,,,,,
Resources    DustCloud,43709,383356,25235,Cylinder,DustCloud.dist,5,5000,101812,-29.71741572,-8.6417699,2408,1
Resources    DustCloud,128147,357231,73986,Cylinder,DustCloud.dist,5,5000,101812,-27.51307188,-25.55980341,2408,1
Resources    DustCloud,309375,147968,178618,Cylinder,DustCloud.dist,5,5000,101812,-11.03043729,-70.26620472,2408,1
Resources    DustCloud,332001,50467,191681,Cylinder,DustCloud.dist,5,5000,101812,-3.740928974,-83.49383021,2408,1
Resources    DustCloud,-43709,-383356,-25235,Cylinder,DustCloud.dist,5,5000,101812,-29.71741572,-8.6417699,2408,1
Resources    DustCloud,-128147,-357231,-73986,Cylinder,DustCloud.dist,5,5000,101812,-27.51307188,-25.55980341,2408,1
Resources    DustCloud,-203853,-306761,-117695,Cylinder,DustCloud.dist,5,5000,101812,-23.36841967,-41.54054935,2408,1
Resources    DustCloud,-309375,-147968,-178618,Cylinder,DustCloud.dist,5,5000,101812,-11.03043729,-70.26620472,2408,1
Resources    DustCloud,-332001,-50467,-191681,Cylinder,DustCloud.dist,5,5000,101812,-3.740928974,-83.49383021,2408,1
Resources    DustCloud,43709,-383356,25235,Cylinder,DustCloud.dist,5,5000,101812,-29.71741572,8.6417699,2408,1
Resources    DustCloud,128147,-357231,73986,Cylinder,DustCloud.dist,5,5000,101812,-27.51307188,25.55980341,2408,1
Resources    DustCloud,309375,-147968,178618,Cylinder,DustCloud.dist,5,5000,101812,-11.03043729,70.26620472,2408,1
Resources    DustCloud,332001,-50467,191681,Cylinder,DustCloud.dist,5,5000,101812,-3.740928974,83.49383021,2408,1
Resources    DustCloud,-43709,383356,-25235,Cylinder,DustCloud.dist,5,5000,101812,-29.71741572,8.6417699,2408,1
Resources    DustCloud,-128147,357231,-73986,Cylinder,DustCloud.dist,5,5000,101812,-27.51307188,25.55980341,2408,1
Resources    DustCloud,-265666,235385,-153382,Cylinder,DustCloud.dist,5,5000,101812,-17.72160317,56.39513535,2408,1
Resources    DustCloud,-309375,147968,-178618,Cylinder,DustCloud.dist,5,5000,101812,-11.03043729,70.26620472,2408,1
Resources    DustCloud,-332001,50467,-191681,Cylinder,DustCloud.dist,5,5000,101812,-3.740928974,83.49383021,2408,1

;30-400 Eccentric,,,,,,,,,,,,
Resources    Asteroid,25882,493186,-44829,Cylinder,Tiny.dist,20,5000,104422,59.16111271,-14.75069988,     ?,     ?
Resources    Asteroid,75883,466391,-131433,Cylinder,Tiny.dist,20,5000,104422,53.14052882,-39.6386811,     ?,     ?
Resources    Asteroid,120712,414627,-209079,Cylinder,Tiny.dist,20,5000,104422,43.39845035,-56.91104399,     ?,     ?
Resources    Asteroid,157315,341422,-272478,Cylinder,Tiny.dist,20,5000,104422,31.81628482,-69.0099156,     ?,     ?
Resources    Asteroid,183197,251764,-317307,Cylinder,Tiny.dist,20,5000,104422,19.35467279,-78.29920151,     ?,     ?
Resources    Asteroid,196595,151763,-340513,Cylinder,Tiny.dist,20,5000,104422,6.490663849,-86.23378995,     ?,     ?
Resources    Asteroid,-25882,-293186,44829,Cylinder,Tiny.dist,20,5000,104422,59.16111271,-14.75069988,     ?,     ?
Resources    Asteroid,-75883,-266391,131433,Cylinder,Tiny.dist,20,5000,104422,53.14052882,-39.6386811,     ?,     ?
Resources    Asteroid,-120712,-214627,209079,Cylinder,Tiny.dist,20,5000,104422,43.39845035,-56.91104399,     ?,     ?
Resources    Asteroid,-157315,-141422,272478,Cylinder,Tiny.dist,20,5000,104422,31.81628482,-69.0099156,     ?,     ?
Resources    Asteroid,-183197,-51764,317307,Cylinder,Tiny.dist,20,5000,104422,19.35467279,-78.29920151,     ?,     ?
Resources    Asteroid,-196595,48237,340513,Cylinder,Tiny.dist,20,5000,104422,6.490663849,-86.23378995,     ?,     ?
Resources    Asteroid,25882,-293186,-44829,Cylinder,Tiny.dist,20,5000,104422,59.16111271,14.75069988,     ?,     ?
Resources    Asteroid,75883,-266391,-131433,Cylinder,Tiny.dist,20,5000,104422,53.14052882,39.6386811,     ?,     ?
Resources    Asteroid,120712,-214627,-209079,Cylinder,Tiny.dist,20,5000,104422,43.39845035,56.91104399,     ?,     ?
Resources    Asteroid,157315,-141422,-272478,Cylinder,Tiny.dist,20,5000,104422,31.81628482,69.0099156,     ?,     ?
Resources    Asteroid,183197,-51764,-317307,Cylinder,Tiny.dist,20,5000,104422,19.35467279,78.29920151,     ?,     ?
Resources    Asteroid,196595,48237,-340513,Cylinder,Tiny.dist,20,5000,104422,6.490663849,86.23378995,     ?,     ?
Resources    Asteroid,-25882,493186,44829,Cylinder,Tiny.dist,20,5000,104422,59.16111271,14.75069988,     ?,     ?
Resources    Asteroid,-75883,466391,131433,Cylinder,Tiny.dist,20,5000,104422,53.14052882,39.6386811,     ?,     ?
Resources    Asteroid,-120712,414627,209079,Cylinder,Tiny.dist,20,5000,104422,43.39845035,56.91104399,     ?,     ?
Resources    Asteroid,-157315,341422,272478,Cylinder,Tiny.dist,20,5000,104422,31.81628482,69.0099156,     ?,     ?
Resources    Asteroid,-183197,251764,317307,Cylinder,Tiny.dist,20,5000,104422,19.35467279,78.29920151,     ?,     ?
Resources    Asteroid,-196595,151763,340513,Cylinder,Tiny.dist,20,5000,104422,6.490663849,86.23378995,     ?,     ?

;EccentricPlanet,,,,,,,,,,,,
Resources    Asteroid,-75883,-266391,131433,Cylinder,Tiny.dist,100,2000,4000,0,0,?,?
Resources    Asteroid,-75883,-266391,131433,Cylinder,Tiny.dist,100,2000,4000,45,45,?,?
Resources    DustCloud,-75883,-266391,131433,Cylinder,DustCloud.dist,40,2500,5000,0,0,?,?
Resources    DustCloud,-75883,-266391,131433,Cylinder,DustCloud.dist,35,2500,5000,45,45,?,?

;Outbound Comet Head,,,,,,,,,,,,
Resources    Asteroid,-140160,75534,-175000,Cylinder,Asteroid.dist,5,1000,2000,0,0,     ?,     ?
Resources    Asteroid,-140160,75534,-175000,Cylinder,Asteroid.dist,5,1000,2000,45,45,     ?,     ?
Resources    DustCloud,-140160,75534,-175000,Cylinder,DustCloud.dist,15,1000,2000,0,0,     ?,     ?
Resources    DustCloud,-140160,75534,-175000,Cylinder,DustCloud.dist,15,1000,2000,45,45,     ?,     ?
Resources    Asteroid,-140160,75534,-175000,Cylinder,Tiny.dist,50,1000,2000,0,0,     ?,     ?
Resources    Asteroid,-140160,75534,-175000,Cylinder,Tiny.dist,50,1000,2000,45,45,     ?,     ?
Resources    Asteroid,-141410,77584,-175000,Cylinder,Tiny.dist,50,1000,2000,0,0,     ?,     ?
Resources    Asteroid,-141410,77584,-175000,Cylinder,Tiny.dist,50,1000,2000,45,45,     ?,     ?
Resources    DustCloud,-141410,77584,-175000,Cylinder,DustCloud.dist,10,1000,2000,0,0,     ?,     ?
Resources    DustCloud,-141410,77584,-175000,Cylinder,DustCloud.dist,10,1000,2000,45,45,     ?,     ?
;Outbound Comet Tail,,,,,,,,,,,,
Resources    Asteroid,-165160,118835,-175000,Cylinder,Tiny.dist,75,500,105000,0,-60,     ?,     ?
Resources    DustCloud,-165160,118835,-175000,Cylinder,DustCloud.dist,20,500,105000,0,-60,     ?,     ?
